pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,43,0.002907,,0.976744,1,0,0,0,344
vlm,ชื่อวิชา (ไทย) ⭐,43,0.0,0.0,1.0,0,0,0,0,1315
vlm,ชื่อวิชา (อังกฤษ) ⭐,43,0.0,0.043716,1.0,0,0,0,0,1333
vlm,หน่วยกิต,43,0.0,,1.0,0,0,0,0,380
vlm,ปี/ภาค,39,0.0,,1.0,0,0,0,0,117
vlm,หมวดวิชา,43,0.328594,,0.511628,94,22,92,0,633
vlm,บังคับ/เลือก,43,0.023904,,0.976744,5,1,0,0,251
vlm,วิชาบังคับก่อน,43,0.300429,,0.674419,0,70,0,14,233
vlm,ปี/ภาคยืดหยุ่น,39,0.0,,0.948718,0,0,6,0,0
