pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,53,0.199541,,0.792453,0,85,2,9,436
vlm,ชื่อวิชา (ไทย) ⭐,53,0.215645,0.244019,0.773585,6,296,4,9,1419
vlm,ชื่อวิชา (อังกฤษ) ⭐,53,1.0,1.0,0.0,0,1459,0,53,1459
vlm,หน่วยกิต,53,0.216036,,0.811321,0,97,0,9,449
vlm,ปี/ภาค,48,0.1875,,0.8125,0,27,0,9,144
vlm,หมวดวิชา,53,0.427261,,0.45283,95,153,78,9,763
vlm,บังคับ/เลือก,53,0.211538,,0.792453,10,56,0,9,312
vlm,วิชาบังคับก่อน,44,1.0,,0.0,0,232,0,44,232
vlm,ปี/ภาคยืดหยุ่น,39,0.0,,1.0,0,0,0,0,0
