pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,54,0.083333,,0.888889,0,32,4,4,432
vlm,ชื่อวิชา (ไทย) ⭐,54,0.165398,0.178404,0.851852,45,191,3,5,1445
vlm,ชื่อวิชา (อังกฤษ) ⭐,54,0.331763,0.360406,0.685185,78,384,31,12,1486
vlm,หน่วยกิต,54,0.156746,,0.87037,3,76,0,5,504
vlm,ปี/ภาค,48,0.083333,,0.916667,0,12,0,4,144
vlm,หมวดวิชา,54,0.373711,,0.481481,97,85,108,5,776
vlm,บังคับ/เลือก,54,0.148734,,0.851852,15,32,0,5,316
vlm,วิชาบังคับก่อน,50,0.309701,,0.68,0,83,0,16,268
vlm,ปี/ภาคยืดหยุ่น,44,0.0,,1.0,0,0,0,0,0
