pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,40,0.060241,,0.9,0,8,12,1,332
vlm,ชื่อวิชา (ไทย) ⭐,40,0.054446,0.053691,0.925,0,60,0,1,1102
vlm,ชื่อวิชา (อังกฤษ) ⭐,40,0.101651,0.115385,0.875,6,111,0,3,1151
vlm,หน่วยกิต,40,0.024845,,0.975,0,8,0,1,322
vlm,ปี/ภาค,34,0.029412,,0.970588,0,3,0,1,102
vlm,หมวดวิชา,40,0.333904,,0.5,68,49,78,1,584
vlm,บังคับ/เลือก,40,0.051502,,0.95,5,7,0,1,233
vlm,วิชาบังคับก่อน,39,0.26484,,0.717949,0,58,0,11,219
vlm,ปี/ภาคยืดหยุ่น,33,0.0,,0.969697,0,0,3,0,0
