pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,41,0.223529,,0.804878,0,76,0,8,340
vlm,ชื่อวิชา (ไทย) ⭐,41,0.237004,0.223684,0.780488,0,269,0,8,1135
vlm,ชื่อวิชา (อังกฤษ) ⭐,41,1.0,1.0,0.0,0,1197,0,41,1197
vlm,หน่วยกิต,41,0.19697,,0.804878,0,65,0,8,330
vlm,ปี/ภาค,41,0.195122,,0.804878,0,24,0,8,123
vlm,หมวดวิชา,41,0.452261,,0.439024,60,150,60,8,597
vlm,บังคับ/เลือก,41,0.175732,,0.804878,0,42,0,8,239
vlm,วิชาบังคับก่อน,33,1.0,,0.0,0,183,0,33,183
vlm,ปี/ภาคยืดหยุ่น,33,0.0,,1.0,0,0,0,0,0
