pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,42,0.140805,,0.833333,10,36,3,3,348
vlm,ชื่อวิชา (ไทย) ⭐,42,0.118577,0.145631,0.928571,0,150,0,3,1265
vlm,ชื่อวิชา (อังกฤษ) ⭐,42,1.0,1.0,0.0,0,1304,0,42,1304
vlm,หน่วยกิต,42,0.163539,,0.904762,0,61,0,3,373
vlm,ปี/ภาค,37,0.081081,,0.918919,0,9,0,3,111
vlm,หมวดวิชา,42,0.340323,,0.52381,78,55,78,3,620
vlm,บังคับ/เลือก,42,0.089796,,0.904762,5,17,0,3,245
vlm,วิชาบังคับก่อน,39,1.0,,0.0,0,210,0,39,210
vlm,ปี/ภาคยืดหยุ่น,34,0.0,,1.0,0,0,0,0,0
