pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,46,0.23913,,0.76087,0,88,0,11,368
vlm,ชื่อวิชา (ไทย) ⭐,46,0.404255,0.432773,0.73913,1,587,1,11,1457
vlm,ชื่อวิชา (อังกฤษ) ⭐,46,1.0,1.0,0.0,0,1394,0,46,1394
vlm,หน่วยกิต,46,0.416,,0.76087,0,208,0,11,500
vlm,ปี/ภาค,46,0.23913,,0.76087,0,33,0,11,138
vlm,หมวดวิชา,46,0.385886,,0.543478,40,169,48,11,666
vlm,บังคับ/เลือก,46,0.279245,,0.695652,15,59,0,11,265
vlm,วิชาบังคับก่อน,35,1.0,,0.0,0,190,0,35,190
vlm,ปี/ภาคยืดหยุ่น,35,0.0,,1.0,0,0,0,0,0
