pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,41,0.164706,,0.829268,0,56,0,7,340
vlm,ชื่อวิชา (ไทย) ⭐,41,0.205286,0.207547,0.780488,0,233,0,7,1135
vlm,ชื่อวิชา (อังกฤษ) ⭐,41,1.0,1.0,0.0,0,1197,0,41,1197
vlm,หน่วยกิต,41,0.169697,,0.829268,0,56,0,7,330
vlm,ปี/ภาค,41,0.170732,,0.829268,0,21,0,7,123
vlm,หมวดวิชา,41,0.457286,,0.414634,68,137,68,7,597
vlm,บังคับ/เลือก,41,0.175732,,0.804878,5,37,0,7,239
vlm,วิชาบังคับก่อน,34,1.0,,0.0,0,188,0,34,188
vlm,ปี/ภาคยืดหยุ่น,34,0.0,,0.970588,0,0,11,0,0
