pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,54,0.148148,,0.851852,0,64,0,8,432
vlm,ชื่อวิชา (ไทย) ⭐,54,0.360554,0.43662,0.703704,133,292,96,8,1445
vlm,ชื่อวิชา (อังกฤษ) ⭐,54,0.33109,0.335025,0.703704,62,403,27,12,1486
vlm,หน่วยกิต,54,0.204365,,0.814815,3,100,0,8,504
vlm,ปี/ภาค,48,0.166667,,0.833333,0,24,0,8,144
vlm,หมวดวิชา,54,0.412371,,0.462963,94,126,100,8,776
vlm,บังคับ/เลือก,54,0.167722,,0.833333,5,48,0,8,316
vlm,วิชาบังคับก่อน,46,0.310757,,0.673913,0,78,0,15,251
vlm,ปี/ภาคยืดหยุ่น,40,0.0,,1.0,0,0,0,0,0
