pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,45,0.266667,,0.733333,0,96,0,12,360
vlm,ชื่อวิชา (ไทย) ⭐,45,0.43166,0.449153,0.711111,1,617,1,12,1434
vlm,ชื่อวิชา (อังกฤษ) ⭐,45,1.0,1.0,0.0,0,1359,0,45,1359
vlm,หน่วยกิต,45,0.439024,,0.733333,0,216,0,12,492
vlm,ปี/ภาค,45,0.266667,,0.733333,0,36,0,12,135
vlm,หมวดวิชา,45,0.412747,,0.533333,36,188,48,12,659
vlm,บังคับ/เลือก,45,0.30888,,0.666667,15,65,0,12,259
vlm,วิชาบังคับก่อน,33,1.0,,0.0,0,180,0,33,180
vlm,ปี/ภาคยืดหยุ่น,33,0.0,,1.0,0,0,0,0,0
