pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,45,0.013889,,0.955556,2,2,1,0,360
vlm,ชื่อวิชา (ไทย) ⭐,45,0.182706,0.211864,0.888889,1,260,1,0,1434
vlm,ชื่อวิชา (อังกฤษ) ⭐,45,0.213392,0.25,0.866667,0,290,0,3,1359
vlm,หน่วยกิต,45,0.105691,,0.911111,0,52,0,1,492
vlm,ปี/ภาค,35,0.0,,1.0,0,0,0,0,105
vlm,หมวดวิชา,45,0.245827,,0.644444,65,33,64,1,659
vlm,บังคับ/เลือก,45,0.092664,,0.911111,15,9,0,1,259
vlm,วิชาบังคับก่อน,45,0.333333,,0.644444,0,80,0,16,240
vlm,ปี/ภาคยืดหยุ่น,35,0.0,,1.0,0,0,0,0,0
