pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,40,0.03012,,0.925,0,8,2,1,332
vlm,ชื่อวิชา (ไทย) ⭐,40,0.055354,0.04698,0.925,0,61,0,1,1102
vlm,ชื่อวิชา (อังกฤษ) ⭐,40,1.0,1.0,0.0,0,1151,0,40,1151
vlm,หน่วยกิต,40,0.034161,,0.95,3,8,0,1,322
vlm,ปี/ภาค,35,0.028571,,0.971429,0,3,0,1,105
vlm,หมวดวิชา,40,0.313356,,0.525,68,42,73,1,584
vlm,บังคับ/เลือก,40,0.04721,,0.95,5,6,0,1,233
vlm,วิชาบังคับก่อน,39,0.228311,,0.74359,0,50,0,10,219
vlm,ปี/ภาคยืดหยุ่น,34,0.0,,0.970588,0,0,11,0,0
