pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,54,0.171296,,0.796296,0,74,0,9,432
vlm,ชื่อวิชา (ไทย) ⭐,54,0.204152,0.234742,0.777778,2,293,0,9,1445
vlm,ชื่อวิชา (อังกฤษ) ⭐,54,1.0,1.0,0.0,0,1486,0,54,1486
vlm,หน่วยกิต,54,0.214286,,0.814815,0,108,0,9,504
vlm,ปี/ภาค,48,0.1875,,0.8125,0,27,0,9,144
vlm,หมวดวิชา,54,0.448454,,0.444444,81,167,100,11,776
vlm,บังคับ/เลือก,54,0.199367,,0.796296,0,63,0,11,316
vlm,วิชาบังคับก่อน,45,0.320988,,0.666667,0,78,0,15,243
vlm,ปี/ภาคยืดหยุ่น,39,0.0,,1.0,0,0,0,0,0
