pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,53,0.12156,,0.886792,0,52,1,5,436
vlm,ชื่อวิชา (ไทย) ⭐,53,0.093728,0.110048,0.830189,10,123,0,5,1419
vlm,ชื่อวิชา (อังกฤษ) ⭐,53,0.3756,0.397906,0.660377,32,487,29,15,1459
vlm,หน่วยกิต,53,0.097996,,0.886792,3,41,0,5,449
vlm,ปี/ภาค,50,0.1,,0.9,0,15,0,5,150
vlm,หมวดวิชา,53,0.466579,,0.396226,106,140,110,8,763
vlm,บังคับ/เลือก,53,0.201923,,0.792453,15,48,0,8,312
vlm,วิชาบังคับก่อน,48,0.238636,,0.75,0,63,0,12,264
vlm,ปี/ภาคยืดหยุ่น,45,0.0,,1.0,0,0,0,0,0
