pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
markdown,รหัสวิชา,90,0.912568,,0.088889,0,668,0,82,732
markdown,ชื่อวิชา (ไทย) ⭐,90,0.933141,0.943844,0.066667,5,2571,6,82,2767
markdown,ชื่อวิชา (อังกฤษ) ⭐,90,1.0,1.0,0.0,0,2659,0,90,2659
markdown,หน่วยกิต,90,0.922984,,0.088889,0,767,0,82,831
markdown,ปี/ภาค,90,0.911111,,0.088889,0,246,0,82,270
markdown,หมวดวิชา,90,1.0,,0.0,0,1238,0,90,1238
markdown,บังคับ/เลือก,90,1.0,,0.0,0,486,0,90,486
markdown,วิชาบังคับก่อน,8,0.186047,,0.875,5,3,0,0,43
markdown,ปี/ภาคยืดหยุ่น,8,0.0,,1.0,0,0,0,0,0
