pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,41,0.2,,0.829268,0,68,0,7,340
vlm,ชื่อวิชา (ไทย) ⭐,41,0.212335,0.190789,0.804878,0,241,0,7,1135
vlm,ชื่อวิชา (อังกฤษ) ⭐,41,1.0,1.0,0.0,0,1197,0,41,1197
vlm,หน่วยกิต,41,0.172727,,0.829268,0,57,0,7,330
vlm,ปี/ภาค,41,0.170732,,0.829268,0,21,0,7,123
vlm,หมวดวิชา,41,0.433836,,0.439024,64,131,64,7,597
vlm,บังคับ/เลือก,41,0.154812,,0.829268,0,37,0,7,239
vlm,วิชาบังคับก่อน,34,1.0,,0.0,0,188,0,34,188
vlm,ปี/ภาคยืดหยุ่น,34,0.0,,0.970588,0,0,11,0,0
