pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,40,0.159639,,0.85,0,53,0,5,332
vlm,ชื่อวิชา (ไทย) ⭐,40,0.154265,0.147651,0.85,0,170,0,5,1102
vlm,ชื่อวิชา (อังกฤษ) ⭐,40,1.0,1.0,0.0,0,1151,0,40,1151
vlm,หน่วยกิต,40,0.130435,,0.875,0,42,0,5,322
vlm,ปี/ภาค,36,0.138889,,0.861111,0,15,0,5,108
vlm,หมวดวิชา,40,0.539384,,0.275,92,94,129,5,584
vlm,บังคับ/เลือก,40,0.120172,,0.875,0,28,0,5,233
vlm,วิชาบังคับก่อน,35,1.0,,0.0,0,193,0,35,193
vlm,ปี/ภาคยืดหยุ่น,31,0.0,,1.0,0,0,0,0,0
