pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,43,0.063953,,0.906977,6,16,0,2,344
vlm,ชื่อวิชา (ไทย) ⭐,43,0.048669,0.046296,0.953488,0,64,0,2,1315
vlm,ชื่อวิชา (อังกฤษ) ⭐,43,1.0,1.0,0.0,0,1333,0,43,1333
vlm,หน่วยกิต,43,0.042105,,0.953488,0,16,0,2,380
vlm,ปี/ภาค,40,0.05,,0.95,0,6,0,2,120
vlm,หมวดวิชา,43,0.330174,,0.534884,77,46,86,2,633
vlm,บังคับ/เลือก,43,0.071713,,0.930233,5,13,0,2,251
vlm,วิชาบังคับก่อน,41,1.0,,0.0,0,220,0,41,220
vlm,ปี/ภาคยืดหยุ่น,38,0.0,,0.921053,0,0,9,0,0
