pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,53,0.176606,,0.830189,0,76,1,8,436
vlm,ชื่อวิชา (ไทย) ⭐,53,0.229035,0.296651,0.716981,73,244,8,8,1419
vlm,ชื่อวิชา (อังกฤษ) ⭐,53,0.3756,0.397906,0.660377,32,487,29,15,1459
vlm,หน่วยกิต,53,0.158129,,0.811321,6,65,0,8,449
vlm,ปี/ภาค,50,0.16,,0.84,0,24,0,8,150
vlm,หมวดวิชา,53,0.440367,,0.45283,94,140,102,8,763
vlm,บังคับ/เลือก,53,0.163462,,0.830189,5,46,0,8,312
vlm,วิชาบังคับก่อน,45,0.232932,,0.755556,0,58,0,11,249
vlm,ปี/ภาคยืดหยุ่น,42,0.0,,1.0,0,0,0,0,0
