pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,42,0.112069,,0.857143,10,29,0,2,348
vlm,ชื่อวิชา (ไทย) ⭐,42,0.072727,0.082524,0.952381,0,92,0,2,1265
vlm,ชื่อวิชา (อังกฤษ) ⭐,42,0.168712,0.215909,0.880952,0,220,0,5,1304
vlm,หน่วยกิต,42,0.142091,,0.904762,0,53,0,2,373
vlm,ปี/ภาค,36,0.055556,,0.944444,0,6,0,2,108
vlm,หมวดวิชา,42,0.319355,,0.547619,78,42,78,2,620
vlm,บังคับ/เลือก,42,0.069388,,0.928571,5,12,0,2,245
vlm,วิชาบังคับก่อน,40,0.302326,,0.675,0,65,0,13,215
vlm,ปี/ภาคยืดหยุ่น,34,0.0,,1.0,0,0,0,0,0
