pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,54,0.277778,,0.722222,0,120,0,15,432
vlm,ชื่อวิชา (ไทย) ⭐,54,0.299654,0.342723,0.666667,2,431,0,15,1445
vlm,ชื่อวิชา (อังกฤษ) ⭐,54,1.0,1.0,0.0,0,1486,0,54,1486
vlm,หน่วยกิต,54,0.357143,,0.703704,0,180,0,15,504
vlm,ปี/ภาค,54,0.277778,,0.722222,0,45,0,15,162
vlm,หมวดวิชา,54,0.521907,,0.388889,72,233,100,15,776
vlm,บังคับ/เลือก,54,0.262658,,0.722222,0,83,0,15,316
vlm,วิชาบังคับก่อน,39,1.0,,0.0,0,207,0,39,207
vlm,ปี/ภาคยืดหยุ่น,39,0.0,,1.0,0,0,0,0,0
