pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,44,0.016484,,0.931818,0,1,5,0,364
vlm,ชื่อวิชา (ไทย) ⭐,44,0.2213,0.248927,0.840909,1,317,2,0,1446
vlm,ชื่อวิชา (อังกฤษ) ⭐,44,1.0,1.0,0.0,0,1376,0,44,1376
vlm,หน่วยกิต,44,0.097614,,0.863636,0,44,1,0,461
vlm,ปี/ภาค,35,0.0,,1.0,0,0,0,0,105
vlm,หมวดวิชา,44,0.239938,,0.636364,69,20,66,0,646
vlm,บังคับ/เลือก,44,0.188235,,0.818182,40,8,0,0,255
vlm,วิชาบังคับก่อน,44,1.0,,0.0,0,235,0,44,235
vlm,ปี/ภาคยืดหยุ่น,35,0.0,,1.0,0,0,0,0,0
