pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,40,0.135542,,0.875,0,44,1,4,332
vlm,ชื่อวิชา (ไทย) ⭐,40,0.142468,0.127517,0.875,0,157,0,4,1102
vlm,ชื่อวิชา (อังกฤษ) ⭐,40,0.173762,0.166667,0.875,0,200,0,4,1151
vlm,หน่วยกิต,40,0.10559,,0.9,0,34,0,4,322
vlm,ปี/ภาค,36,0.111111,,0.888889,0,12,0,4,108
vlm,หมวดวิชา,40,0.488014,,0.35,80,106,99,5,584
vlm,บังคับ/เลือก,40,0.120172,,0.875,0,28,0,5,233
vlm,วิชาบังคับก่อน,36,0.196078,,0.777778,0,40,0,8,204
vlm,ปี/ภาคยืดหยุ่น,32,0.0,,0.96875,0,0,11,0,0
