pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,54,0.046296,,0.925926,0,16,4,2,432
vlm,ชื่อวิชา (ไทย) ⭐,54,0.042215,0.056338,0.925926,2,59,0,2,1445
vlm,ชื่อวิชา (อังกฤษ) ⭐,54,0.265814,0.279188,0.740741,27,364,4,12,1486
vlm,หน่วยกิต,54,0.154762,,0.907407,2,52,24,2,504
vlm,ปี/ภาค,48,0.041667,,0.958333,0,6,0,2,144
vlm,หมวดวิชา,54,0.373711,,0.481481,97,85,108,5,776
vlm,บังคับ/เลือก,54,0.129747,,0.87037,10,31,0,5,316
vlm,วิชาบังคับก่อน,52,0.292254,,0.692308,0,83,0,16,284
vlm,ปี/ภาคยืดหยุ่น,46,0.0,,1.0,0,0,0,0,0
