pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,40,0.144578,,0.85,0,45,3,4,332
vlm,ชื่อวิชา (ไทย) ⭐,40,0.141561,0.134228,0.875,0,156,0,4,1102
vlm,ชื่อวิชา (อังกฤษ) ⭐,40,0.201564,0.205128,0.825,0,232,0,6,1151
vlm,หน่วยกิต,40,0.10559,,0.9,0,34,0,4,322
vlm,ปี/ภาค,35,0.114286,,0.885714,0,12,0,4,105
vlm,หมวดวิชา,40,0.462329,,0.375,76,94,100,4,584
vlm,บังคับ/เลือก,40,0.098712,,0.9,0,23,0,4,233
vlm,วิชาบังคับก่อน,36,0.235294,,0.75,0,48,0,9,204
vlm,ปี/ภาคยืดหยุ่น,31,0.0,,1.0,0,0,0,0,0
