pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,42,0.241379,,0.785714,0,84,0,9,348
vlm,ชื่อวิชา (ไทย) ⭐,42,0.26087,0.286408,0.785714,0,330,0,9,1265
vlm,ชื่อวิชา (อังกฤษ) ⭐,42,1.0,1.0,0.0,0,1304,0,42,1304
vlm,หน่วยกิต,42,0.320548,,0.761905,0,109,8,9,365
vlm,ปี/ภาค,42,0.214286,,0.785714,0,27,0,9,126
vlm,หมวดวิชา,42,0.466129,,0.452381,56,155,78,9,620
vlm,บังคับ/เลือก,42,0.191837,,0.785714,0,47,0,9,245
vlm,วิชาบังคับก่อน,33,1.0,,0.0,0,180,0,33,180
vlm,ปี/ภาคยืดหยุ่น,33,0.0,,1.0,0,0,0,0,0
