pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,40,0.012048,,0.95,0,0,4,0,332
vlm,ชื่อวิชา (ไทย) ⭐,40,0.055354,0.04698,0.925,13,47,1,0,1102
vlm,ชื่อวิชา (อังกฤษ) ⭐,40,0.085143,0.102564,0.9,0,98,0,2,1151
vlm,หน่วยกิต,40,0.0,,1.0,0,0,0,0,322
vlm,ปี/ภาค,35,0.0,,1.0,0,0,0,0,105
vlm,หมวดวิชา,40,0.30137,,0.525,68,30,78,0,584
vlm,บังคับ/เลือก,40,0.051502,,0.95,10,2,0,0,233
vlm,วิชาบังคับก่อน,40,0.245536,,0.725,0,55,0,11,224
vlm,ปี/ภาคยืดหยุ่น,35,0.0,,0.971429,0,0,3,0,0
